x,y,w,h,pred_X,pred_Y
-338.68073,-6.9143677,267.45984,321.40088,0.49823445,0.70771587
549.2102,-313.99255,142.27698,152.04948,1.7274599,0.415143
727.13745,-405.6782,53.47119,72.07381,3.805163,0.25180164
393.4729,-503.97467,56.394043,68.63746,3.5854082,1.4846821
